BugID,FI,NI,SI,RI,CC,ElapsedTime,CI,OE,OW,Priority
139557,0,0,3,1,3,85.49239583333333,2,1671.0,1.0,3.0
139565,0,0,1,1,2,85.46902777777778,2,1670.0,2.0,1.0
139572,0,0,66,64,12,110.98162037037036,17,757.0,11.0,4.0
139633,0,0,28,26,8,28.665150462962963,23,1373.0,9.0,2.0
139646,1,0,0,0,2,550.3516435185185,2,1186.0,2.0,2.0
139649,0,0,15,15,6,35.561400462962965,25,591.0,13.0,2.0
139798,0,0,55,51,11,13.296377314814816,25,661.0,12.0,2.0
139802,21,0,210,113,22,83.02574074074074,89,898.0,22.0,6.0
139883,0,0,6,6,4,11.072662037037038,3,1669.0,3.0,2.0
139923,0,0,3,2,3,2674.223738425926,5,1184.0,4.0,2.0
139956,3,0,3,3,4,109.63157407407408,3,767.0,1.0,5.0
140087,0,0,6,6,4,89.9726388888889,3,765.0,3.0,2.0
140136,0,0,28,25,8,187.3390162037037,7,1377.0,5.0,2.0
140467,30,1,105,66,17,530.5657060185185,38,198.0,14.0,3.0
140550,1,0,0,0,2,18.6315625,1,1672.0,0.0,2.0
140562,108,15,153,40,24,5413.026724537037,84,0.0,19.0,2.0
140612,0,0,66,61,12,151.9234375,33,757.0,13.0,2.0
140616,0,0,6,4,4,629.8591203703704,4,921.0,0.0,3.0
140637,2,0,1,1,3,66.12770833333333,3,208.0,0.0,2.0
140644,0,0,1,1,2,1585.917523148148,1,2284.0,0.0,3.0
140655,0,0,6,6,4,145.0144097222222,4,2282.0,2.0,3.0
140718,75,10,105,33,20,6738.455266203704,36,103.0,8.0,2.0
140767,17,0,136,110,18,62.32010416666667,35,995.0,5.0,5.0
140789,17,0,136,100,18,7142.999548611111,132,,0.0,2.0
140870,3,0,3,3,4,310.79025462962966,6,1672.0,0.0,2.0
140910,0,0,6,5,4,155.38886574074073,5,1670.0,2.0,2.0
